Point42: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point43: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point44: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point45: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point46: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point47: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point48: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point49: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point50: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point51: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point52: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point53: deltaX:[ 0.069665 , -0.13933 ] cosTheta:[0.0815723] ui:[ 0.0909091 , -0.181818 ] sigma:[0.556493]
Point54: deltaX:[ 1.27273 , -1 ] cosTheta:[6.8592e-17] ui:[ 1.27273 , -1 ] sigma:[0.781528]
Point55: deltaX:[ 1 , 1.27273 ] cosTheta:[6.8592e-17] ui:[ 1 , 1.27273 ] sigma:[0.781528]
Point56: deltaX:[ 0.362672 , 0.45334 ] cosTheta:[0.00814885] ui:[ 0.363636 , 0.454545 ] sigma:[0.635216]
Point57: deltaX:[ 0.0869565 , 0.0869565 ] cosTheta:[2.82126e-16] ui:[ 0.0869565 , 0.0869565 ] sigma:[0.545541]
Point58: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point59: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point60: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point61: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point62: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point63: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point64: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point65: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point66: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point67: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point68: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point69: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point70: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point71: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point72: deltaX:[ 0.0434783 , -0.0869565 ] cosTheta:[1.42746e-15] ui:[ 0.0434783 , -0.0869565 ] sigma:[0.527523]
Point73: deltaX:[ 1 , -1.27273 ] cosTheta:[6.8592e-17] ui:[ 1 , -1.27273 ] sigma:[0.781528]
Point74: deltaX:[ 1 , -1.27273 ] cosTheta:[6.8592e-17] ui:[ 1 , -1.27273 ] sigma:[0.781528]
Point75: deltaX:[ 1.31818 , -1.31818 ] cosTheta:[5.95552e-17] ui:[ 1.31818 , -1.31818 ] sigma:[0.814815]
Point76: deltaX:[ 1.27932 , -1.15139 ] cosTheta:[0.0220072] ui:[ 1.30435 , -1.17391 ] sigma:[0.796996]
Point77: deltaX:[ 1.13636 , 1.13636 ] cosTheta:[1.38168e-16] ui:[ 1.13636 , 1.13636 ] sigma:[0.787677]
Point78: deltaX:[ 1 , 1.27273 ] cosTheta:[6.8592e-17] ui:[ 1 , 1.27273 ] sigma:[0.781528]
Point79: deltaX:[ 1.31818 , 1.31818 ] cosTheta:[5.95552e-17] ui:[ 1.31818 , 1.31818 ] sigma:[0.814815]
Point80: deltaX:[ 0.134651 , 0.179535 ] cosTheta:[0.0177741] ui:[ 0.136364 , 0.181818 ] sigma:[0.578642]
Point81: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point82: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point83: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point84: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point85: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point86: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point87: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point88: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point89: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point90: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point91: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point92: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point93: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point94: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point95: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point96: deltaX:[ 0.0869565 , -0.0869565 ] cosTheta:[2.82126e-16] ui:[ 0.0869565 , -0.0869565 ] sigma:[0.545541]
Point97: deltaX:[ 0.179535 , -0.134651 ] cosTheta:[0.0177741] ui:[ 0.181818 , -0.136364 ] sigma:[0.578642]
Point98: deltaX:[ 0.209772 , -0.209772 ] cosTheta:[0.0662273] ui:[ 0.25 , -0.25 ] sigma:[0.570714]
Point99: deltaX:[ 0.600893 , -0.488226 ] cosTheta:[0.024408] ui:[ 0.615385 , -0.5 ] sigma:[0.654991]
Point100: deltaX:[ 1.27273 , -1 ] cosTheta:[6.8592e-17] ui:[ 1.27273 , -1 ] sigma:[0.781528]
Point101: deltaX:[ 1.27273 , 1 ] cosTheta:[6.8592e-17] ui:[ 1.27273 , 1 ] sigma:[0.781528]
Point102: deltaX:[ 0.518519 , 0.518519 ] cosTheta:[0] ui:[ 0.518519 , 0.518519 ] sigma:[0.654634]
Point103: deltaX:[ 0.179535 , 0.134651 ] cosTheta:[0.0177741] ui:[ 0.181818 , 0.136364 ] sigma:[0.578642]
Point104: deltaX:[ 0.0869565 , 0.0869565 ] cosTheta:[2.82126e-16] ui:[ 0.0869565 , 0.0869565 ] sigma:[0.545541]
