iter:1   sigmaHat = 0.0952756
iter:2   sigmaHat = 0.0990133
iter:3   sigmaHat = 0.103291
iter:4   sigmaHat = 0.108337
iter:5   sigmaHat = 0.114247
iter:6   sigmaHat = 0.120494
iter:7   sigmaHat = 0.127531
iter:8   sigmaHat = 0.134852
iter:9   sigmaHat = 0.14306
iter:10   sigmaHat = 0.151703
Point0: deltaX:[ 7.55575e-28 , -1.21432e-28 ] cosTheta:[0.650537] ui:[ 2.8 , -0.45 ] sigma:[0.894578]
Point35: deltaX:[ 0.00420962 , 0.00465274 ] cosTheta:[0.189217] ui:[ 0.904762 , 1 ] sigma:[0.850901]
Point36: deltaX:[ 0.00366943 , 0.00366943 ] cosTheta:[0.191799] ui:[ 0.470588 , 0.470588 ] sigma:[0.763554]
Point37: deltaX:[ 1.18152e-29 , 0 ] cosTheta:[0.659087] ui:[ 0.117647 , 0 ] sigma:[0.770051]
Point38: deltaX:[ -1.3118e-13 , -2.62361e-13 ] cosTheta:[0.438954] ui:[ -0.235294 , -0.470588 ] sigma:[0.776404]
Point39: deltaX:[ -0.00636758 , -0.00674214 ] cosTheta:[0.178862] ui:[ -0.772727 , -0.818182 ] sigma:[0.861801]
Point40: deltaX:[ 6.2865e-05 , 8.8011e-05 ] cosTheta:[0.249507] ui:[ 0.714286 , 1 ] sigma:[0.859051]
Point41: deltaX:[ 1.3118e-13 , 2.62361e-13 ] cosTheta:[0.438954] ui:[ 0.235294 , 0.470588 ] sigma:[0.776404]
Point42: deltaX:[ -1.18152e-29 , 0 ] cosTheta:[0.659087] ui:[ -0.117647 , 0 ] sigma:[0.770051]
Point43: deltaX:[ -0.00366943 , -0.00366943 ] cosTheta:[0.191799] ui:[ -0.470588 , -0.470588 ] sigma:[0.763554]
Point44: deltaX:[ -0.00420962 , -0.00465274 ] cosTheta:[0.189217] ui:[ -0.904762 , -1 ] sigma:[0.850901]
Point45: deltaX:[ 0.00445349 , 0.00572591 ] cosTheta:[0.183619] ui:[ 0.7 , 0.9 ] sigma:[0.876319]
Point46: deltaX:[ 3.06013e-12 , 6.12027e-12 ] cosTheta:[0.408926] ui:[ 0.1875 , 0.375 ] sigma:[0.807208]
Point47: deltaX:[ -4.0977e-11 , -1.3659e-11 ] cosTheta:[0.388095] ui:[ -0.1875 , -0.0625 ] sigma:[0.80212]
Point48: deltaX:[ -0.000299612 , -0.000140994 ] cosTheta:[0.228841] ui:[ -0.772727 , -0.363636 ] sigma:[0.855506]
Point49: deltaX:[ -0.284206 , -0.259493 ] cosTheta:[0.0948407] ui:[ -1.09524 , -1 ] sigma:[0.850901]
Point50: deltaX:[ 0.00572591 , 0.00445349 ] cosTheta:[0.183619] ui:[ 0.9 , 0.7 ] sigma:[0.876319]
Point51: deltaX:[ 0.201492 , 0.201492 ] cosTheta:[9.81308e-17] ui:[ 0.2 , 0.2 ] sigma:[0.833333]
Point52: deltaX:[ -0.201492 , -0.201492 ] cosTheta:[9.81308e-17] ui:[ -0.2 , -0.2 ] sigma:[0.833333]
Point53: deltaX:[ -0.00303771 , -0.0016082 ] cosTheta:[0.192965] ui:[ -0.809524 , -0.428571 ] sigma:[0.871392]
Point54: deltaX:[ 8.8011e-05 , 6.2865e-05 ] cosTheta:[0.249507] ui:[ 1 , 0.714286 ] sigma:[0.859051]
Point55: deltaX:[ 6.12027e-12 , 3.06013e-12 ] cosTheta:[0.408926] ui:[ 0.375 , 0.1875 ] sigma:[0.807208]
Point56: deltaX:[ -0.201492 , -0.201492 ] cosTheta:[9.81308e-17] ui:[ -0.2 , -0.2 ] sigma:[0.833333]
Point57: deltaX:[ -0.619048 , -0.619048 ] cosTheta:[1.90223e-16] ui:[ -0.619048 , -0.619048 ] sigma:[0.873676]
Point58: deltaX:[ 0.00465274 , 0.00420962 ] cosTheta:[0.189217] ui:[ 1 , 0.904762 ] sigma:[0.850901]
Point59: deltaX:[ 2.62361e-13 , 1.3118e-13 ] cosTheta:[0.438954] ui:[ 0.470588 , 0.235294 ] sigma:[0.776404]
Point60: deltaX:[ -1.3659e-11 , -4.0977e-11 ] cosTheta:[0.388095] ui:[ -0.0625 , -0.1875 ] sigma:[0.80212]
Point61: deltaX:[ -0.0016082 , -0.00303771 ] cosTheta:[0.192965] ui:[ -0.428571 , -0.809524 ] sigma:[0.871392]
Point62: deltaX:[ 0.106469 , 0.097211 ] cosTheta:[0.1235] ui:[ 1.04545 , 0.954545 ] sigma:[0.837338]
Point63: deltaX:[ 0.00366943 , 0.00366943 ] cosTheta:[0.191799] ui:[ 0.470588 , 0.470588 ] sigma:[0.763554]
Point64: deltaX:[ 0 , -1.18152e-29 ] cosTheta:[0.659087] ui:[ 0 , -0.117647 ] sigma:[0.770051]
Point65: deltaX:[ -0.000140994 , -0.000299612 ] cosTheta:[0.228841] ui:[ -0.363636 , -0.772727 ] sigma:[0.855506]
Point66: deltaX:[ 0.00532147 , 0.00425718 ] cosTheta:[0.177808] ui:[ 0.6 , 0.48 ] sigma:[0.828509]
Point67: deltaX:[ 0 , 1.18152e-29 ] cosTheta:[0.659087] ui:[ 0 , 0.117647 ] sigma:[0.770051]
Point68: deltaX:[ -0.00366943 , -0.00366943 ] cosTheta:[0.191799] ui:[ -0.470588 , -0.470588 ] sigma:[0.763554]
Point69: deltaX:[ -0.259493 , -0.284206 ] cosTheta:[0.0948407] ui:[ -1 , -1.09524 ] sigma:[0.850901]
Point70: deltaX:[ 1.12308 , 1.00275 ] cosTheta:[0.0461562] ui:[ 1.16667 , 1.04167 ] sigma:[0.80536]
Point71: deltaX:[ 2.44623e-06 , 1.54498e-06 ] cosTheta:[0.292311] ui:[ 0.730769 , 0.461538 ] sigma:[0.809046]
