iter:1   sigmaHat = 0.516428
iter:2   sigmaHat = 0.515832
iter:3   sigmaHat = 0.51721
iter:4   sigmaHat = 0.519243
iter:5   sigmaHat = 0.521316
iter:6   sigmaHat = 0.523661
iter:7   sigmaHat = 0.526304
iter:8   sigmaHat = 0.529029
iter:9   sigmaHat = 0.532247
iter:10   sigmaHat = 0.535975
iter:11   sigmaHat = 0.539842
iter:12   sigmaHat = 0.543637
iter:13   sigmaHat = 0.547959
iter:14   sigmaHat = 0.552602
iter:15   sigmaHat = 0.55792
iter:16   sigmaHat = 0.563845
iter:17   sigmaHat = 0.57048
iter:18   sigmaHat = 0.577635
iter:19   sigmaHat = 0.585432
iter:20   sigmaHat = 0.593662
iter:21   sigmaHat = 0.604438
iter:22   sigmaHat = 0.615738
iter:23   sigmaHat = 0.629256
iter:24   sigmaHat = 0.645276
iter:25   sigmaHat = 0.660858
iter:26   sigmaHat = 0.678495
iter:27   sigmaHat = 0.695543
iter:28   sigmaHat = 0.714779
iter:29   sigmaHat = 0.735347
iter:30   sigmaHat = 0.757296
iter:31   sigmaHat = 0.783003
iter:32   sigmaHat = 0.808761
iter:33   sigmaHat = 0.828766
iter:34   sigmaHat = 0.842217
iter:35   sigmaHat = 0.849438
iter:36   sigmaHat = 0.853499
iter:37   sigmaHat = 0.854648
iter:38   sigmaHat = 0.854713
iter:39   sigmaHat = 0.854713
iter:40   sigmaHat = 0.854713
iter:41   sigmaHat = 0.854713
iter:42   sigmaHat = 0.854713
iter:43   sigmaHat = 0.854713
iter:44   sigmaHat = 0.854713
Point294:[ -0.219105 , 0.559936 ]cosTheta:0.0766904
Point295:[ -0.000109602 , 0.000438407 ]cosTheta:0.220155
Point296:[ 0.000538069 , -0.000672586 ]cosTheta:0.207811
Point297:[ 0.32641 , -0.593474 ]cosTheta:0.0675417
Point298:[ -0.385728 , 0.881665 ]cosTheta:0.0208676
Point299:[ 0 , 1.33032e-19 ]cosTheta:0.524543
Point300:[ 0.304184 , -0.760461 ]cosTheta:0.00874437
Point301:[ -1.99064e-12 , 1.42189e-12 ]cosTheta:0.418338
Point302:[ 6.35364e-05 , -0.000381218 ]cosTheta:0.217547
Point303:[ -3.43429e-07 , 3.43429e-07 ]cosTheta:0.311543
Point304:[ -3.12426e-54 , 0 ]cosTheta:0.900867
Point305:[ 0.0181267 , -0.0679752 ]cosTheta:0.130727
Point306:[ -0.248498 , 0.496996 ]cosTheta:0.00633876
Point307:[ 0.248498 , -0.496996 ]cosTheta:0.00633876
Point308:[ -0.0181267 , 0.0679752 ]cosTheta:0.130727
Point309:[ 3.12426e-54 , 0 ]cosTheta:0.900867
Point310:[ 0.0046531 , -0.00697965 ]cosTheta:0.179622
Point311:[ 1.77667e-22 , 5.33001e-22 ]cosTheta:0.566491
Point312:[ 0.000548942 , -0.000768519 ]cosTheta:0.208998
Point313:[ -0.0245393 , 0.122696 ]cosTheta:0.108467
Point314:[ 2.41696e-38 , -8.05655e-39 ]cosTheta:0.757291
Point315:[ 0.00115204 , -0.00168375 ]cosTheta:0.206345
Point316:[ -0.15059 , 0.652556 ]cosTheta:0.0534042
Point317:[ 0 , 5.61644e-10 ]cosTheta:0.370656
Point318:[ 0.338137 , -0.619917 ]cosTheta:0.0569417
Point319:[ -0.296 , 0.85511 ]cosTheta:0.0591185
Point320:[ -0.128764 , 0.206023 ]cosTheta:0.0961714
Point321:[ 0.268197 , -0.446995 ]cosTheta:7.61607e-17
Point322:[ 0.564175 , -0.91136 ]cosTheta:0.0248754
Point323:[ -0.323262 , 0.808154 ]cosTheta:0.033087
Point324:[ -1.9455e-08 , 1.9455e-08 ]cosTheta:0.319868
Point325:[ 0.000216429 , -0.000216429 ]cosTheta:0.22655
Point326:[ -0.0207397 , 0.0290356 ]cosTheta:0.142343
Point327:[ 1.52809e-29 , -5.09364e-30 ]cosTheta:0.66331
Point328:[ 2.84816e-07 , -1.99371e-07 ]cosTheta:0.315423
Point329:[ -0.0509312 , 0.152794 ]cosTheta:0.129629
Point330:[ 8.5224e-26 , 3.40896e-25 ]cosTheta:0.608208
Point331:[ 1.89008e-06 , -1.26005e-06 ]cosTheta:0.293222
Point332:[ 0.00166371 , -0.000950694 ]cosTheta:0.214418
Point333:[ -0.0120313 , 0.051133 ]cosTheta:0.152644
Point334:[ -0.000139439 , 0.00181271 ]cosTheta:0.198901
Point335:[ 4.60236e-58 , 1.84094e-58 ]cosTheta:0.933053
Point336:[ 0.470318 , -0.256537 ]cosTheta:0.0201988
Point337:[ 0.700001 , -0.25 ]cosTheta:0.000957715
Point338:[ 1.11508 , -0.159297 ]cosTheta:0.0453088
Point339:[ 1.05992 , 0 ]cosTheta:0
